time,heartrate,steps,stress
12:01:00,97,0,0
12:02:00,93,0,9
12:03:00,86,0,2
12:04:00,81,0,0
12:05:00,90,0,6
12:06:00,97,0,13
12:07:00,92,0,8
12:08:00,91,0,7
12:09:00,91,0,7
12:10:00,87,0,3
12:11:00,85,0,1
12:12:00,84,0,0
12:13:00,81,0,0
12:14:00,83,18,0
12:15:00,97,52,0
12:16:00,105,10,0
12:17:00,90,15,0
12:18:00,86,11,0
12:19:00,96,68,0
12:20:00,91,0,0
12:21:00,84,0,0
12:22:00,83,0,0
12:23:00,77,9,0
12:24:00,84,0,0
12:25:00,86,0,2
12:26:00,79,8,0
12:27:00,76,0,0
12:28:00,77,0,0
12:29:00,79,0,0
12:30:00,80,0,0
12:31:00,80,0,0
12:32:00,83,0,0
12:33:00,82,0,0
12:34:00,84,0,0
12:35:00,81,0,0
12:36:00,79,0,0
12:37:00,86,0,2
12:38:00,83,0,0
12:39:00,78,0,0
12:40:00,81,41,0
12:41:00,94,86,0
12:42:00,88,1,0
12:43:00,92,115,0
12:44:00,126,135,0
12:45:00,125,127,0
12:46:00,126,134,0
12:47:00,133,133,0
12:48:00,127,130,0
12:49:00,121,128,0
12:50:00,112,123,0
12:51:00,115,124,0
12:52:00,100,67,0
12:53:00,114,43,0
12:54:00,118,0,0
12:55:00,114,0,0
12:56:00,112,0,0
12:57:00,105,10,0
12:58:00,83,0,0
12:59:00,77,0,0
13:00:00,73,0,0
13:01:00,74,0,0
13:02:00,69,0,0
13:03:00,67,0,0
13:04:00,78,0,0
13:05:00,80,0,0
13:06:00,83,0,0
13:07:00,71,0,0
13:08:00,77,0,0
13:09:00,74,0,0
13:10:00,82,0,0
13:11:00,82,0,0
13:12:00,79,0,0
13:13:00,77,0,0
13:14:00,79,0,0
13:15:00,76,0,0
13:16:00,77,0,0
13:17:00,81,0,0
13:18:00,82,0,0
13:19:00,75,0,0
13:20:00,79,0,0
13:21:00,78,0,0
13:22:00,77,0,0
13:23:00,71,0,0
13:24:00,72,0,0
13:25:00,79,0,0
13:26:00,68,0,0
13:27:00,71,0,0
13:28:00,86,0,2
13:29:00,85,0,1
13:30:00,89,0,5
13:31:00,87,0,3
13:32:00,84,0,0
13:33:00,85,0,1
13:34:00,86,0,2
13:35:00,83,0,0
13:36:00,86,0,2
13:37:00,78,0,0
